A*,Greedy Best First,Genetic,CSP
3.9673737624085783,3.9615498409909833,2.6802256658693717,3.5116138711880898
4.985514090498442,5.216496226569876,3.6950986252561275,4.373296690767235
4.606263233183723,4.06191180194261,3.2780413341132872,3.6895498082400087
5.231772686605684,4.791248483202168,3.923086905124416,5.157713724451196
5.121863548746605,5.2540251216510185,4.743128927143112,5.272263327320405
5.735751267445643,5.379649544661369,4.371891415753909,5.080670355267723
5.221406457397874,5.383204289039492,4.197804736594541,5.26598475795044
4.522570026500542,5.977777562170023,4.637215144514641,4.895015784303018
3.528636826216277,3.484612723591863,2.8519905415606837,4.007870598127694
6.187266041620546,6.671223600201095,5.296988066251343,5.739192879310378
4.934966713634283,5.076210218509723,4.649042784423095,5.066113883950308
4.794646700616148,4.481924284830747,3.380054124463808,4.279708633557513
4.200231051132738,4.429509671163281,3.6414029487135995,4.462559752580573
4.5615826893596045,5.852068832766238,3.7148354517650217,4.168073556447373
5.820319188030956,5.314899210355128,4.099751794801193,4.967473467683031
5.13549905863736,6.055744554282488,5.444435197089455,6.011616563394029
5.0378697285524945,5.321932142890761,4.1889656809731495,5.2292180649520486
5.066903321708901,5.228362229597163,4.366135239790566,5.1749598418496285
3.7783616561239146,4.04984823482029,3.4130636634679083,4.607402821135194
4.919442932736936,5.497471145789953,4.1123579586856716,5.3716614494823975
