A*,Greedy Best First,Genetic,CSP

136.7131534922722,77.21396143108952,56.50050032782961,99.37834307927099
177.11565258072176,140.85526923946446,50.25599760120912,112.53688903743335
115.2997762823225,80.95109021923221,54.30940821894235,61.20398502954098
130.18393532146666,175.3458997240304,53.05653421253096,164.74623925936862
128.6335718319002,66.53319402115976,50.95005068539311,151.40832554471964
84.19577705177635,115.22245727400632,51.08121686714363,55.980409422550245
57.4418789975078,136.26980189357758,51.101259210582135,132.2702172175591
89.27949882016512,178.65083912160708,50.353674179197526,70.25057578159507
75.45333734493012,96.03246424783521,51.05784003558709,181.39318709418524
119.18422321770778,139.560615922976,53.00383923762107,85.16220451932385
62.34548798470795,69.22164033670279,50.93711489680797,134.24569804462857
189.90775946981677,144.88812588794224,58.158914735544805,161.71849987138268
113.99321304616703,123.28252659971155,50.84262016157921,194.15379687314297
91.18918032469685,185.72023896002,51.13881547654701,74.30819754934517
166.07377708305756,87.80934841395148,50.77290891653557,73.62726384449543
84.07778349069645,129.69818515977772,54.119018575404894,166.84330460013933
123.40533190275215,73.35089100532196,50.5305405150941,95.623818366097
106.09860803318654,79.67975437337205,52.65792286425782,127.21266506530873
71.00339138413376,106.55733943482468,50.224796078569995,88.0312468007752
128.283401286537,72.54654871430871,50.62128447019484,154.14762203999112
